word_count,char_count,avg_word_length,positive_count,negative_count
23,125,5.434782608695652,0,0
15,74,4.933333333333334,0,0
4,20,5.0,0,0
13,58,4.461538461538462,1,0
4,33,8.25,0,0
3,26,8.666666666666666,0,0
12,60,5.0,1,0
10,58,5.8,0,0
8,45,5.625,0,0
18,107,5.944444444444445,0,0
8,52,6.5,0,0
21,136,6.476190476190476,0,0
7,40,5.714285714285714,0,0
10,48,4.8,0,0
13,63,4.846153846153846,0,0
13,76,5.846153846153846,1,0
14,66,4.714285714285714,0,0
6,37,6.166666666666667,0,0
23,109,4.739130434782608,0,0
6,45,7.5,0,0
10,67,6.7,0,0
16,97,6.0625,0,0
8,62,7.75,0,0
26,130,5.0,0,0
15,86,5.733333333333333,0,0
17,109,6.411764705882353,0,0
6,32,5.333333333333333,0,0
21,119,5.666666666666667,0,0
7,63,9.0,0,0
6,29,4.833333333333333,0,0
26,136,5.230769230769231,0,0
20,105,5.25,0,0
7,32,4.571428571428571,0,0
8,48,6.0,0,0
8,38,4.75,0,0
23,109,4.739130434782608,0,0
12,65,5.416666666666667,0,0
13,79,6.076923076923077,2,0
12,61,5.083333333333333,0,0
18,109,6.055555555555555,2,0
8,63,7.875,0,0
15,80,5.333333333333333,0,0
5,53,10.6,0,0
15,84,5.6,0,0
